sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKExternalUUID,HKWeatherTemperature,HKTimeZone,HKWeatherHumidity,HKElevationAscended,HKIndoorWorkout,HKAverageMETs
HKWorkoutTypeIdentifier,Runkeeper,278,"iPhone0,0",,2016-01-15 14:08:12 +0000,2016-01-15 14:33:24 +0000,Running,1511.9999969601631,sec,506.129 kcal,5334.52 m,,,5D2D9FA4-054A-4F81-884D-958EA4B6120D,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,287,"iPhone0,0",,2016-01-20 14:08:22 +0000,2016-01-20 14:32:34 +0000,Running,1451.999997973442,sec,502.247 kcal,5294.68 m,,,48B74F87-F55B-49A9-9A63-C3DA94449D57,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,288,"iPhone0,0",,2016-01-26 14:41:48 +0000,2016-01-26 15:05:42 +0000,Running,1433.999997973442,sec,502.293 kcal,5325.75 m,,,B4CFD72E-1C48-441D-B325-1BD817035360,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,305,"iPhone0,0",,2016-03-13 17:56:19 +0000,2016-03-13 18:26:55 +0000,Running,1835.999,sec,555.386 kcal,6011.05 m,,,8586DFCB-F895-4178-89C0-1522C0FB9201,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,305,"iPhone0,0",,2016-03-15 14:20:05 +0000,2016-03-15 14:47:11 +0000,Running,1626.999,sec,516 kcal,5380.03 m,,,B57BC514-C3F9-4CCE-82BE-5F5826FD7B0D,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,305,"iPhone0,0",,2016-03-18 14:19:01 +0000,2016-03-18 14:47:28 +0000,Running,1706.999998986721,sec,565.293 kcal,6000.86 m,,,B62A4B8C-5983-4B7F-80EA-55A7EC3B4F78,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,313,"iPhone0,0",,2016-03-25 13:52:10 +0000,2016-03-25 14:23:45 +0000,Running,1894.9999980330467,sec,614.117 kcal,6495.88 m,,,7D45E750-51AC-44E4-9A4B-2D8B43A7612F,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,313,"iPhone0,0",,2016-03-28 13:46:44 +0000,2016-03-28 14:18:01 +0000,Running,1876.9999980330467,sec,597.605 kcal,6321.88 m,,,A65644B0-0BCF-434F-AE3C-10B609C1A2BF,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,313,"iPhone0,0",,2016-04-03 14:43:06 +0000,2016-04-03 15:07:06 +0000,Running,1439.9999960064888,sec,480.76 kcal,5089.08 m,,,563244CB-2190-44CA-A09A-B396D17635D8,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,313,"iPhone0,0",,2016-04-04 13:49:28 +0000,2016-04-04 14:17:56 +0000,Running,1707.9999980330467,sec,548.92 kcal,5827.99 m,,,37A54A63-8E81-4274-A732-AED5F03347ED,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,323,"iPhone0,0",,2016-04-24 15:41:29 +0000,2016-04-24 16:16:58 +0000,Running,2128.9999970197678,sec,714.315 kcal,7546.78 m,,,1FC90C54-4EAB-4ADA-9AE7-A2018E0F86C1,,,,,,
